ID;CODE;PRIORITY;COMPARING_GROUP
4580;A06.09.007;1;129
4581;B03.052.001;1;129
4590;A09.04.002;0.3;130
4591;A09.04.003;0.3;130
4592;A09.04.004;0.2;130
4593;A09.04.005;0.2;130
4594;A09.05.012;1;130
4595;A09.05.013;1;130
4596;A09.05.014;1;130
4597;A12.05.010;1;130
4598;A12.06.010;0.2;130
4599;A12.06.011;1;130
4600;A12.06.015;0.1;130
4601;A12.06.019;1;130
4602;A12.26.002;0.1;130
4603;A26.04.001;0.01;130
4604;A26.04.002;0.01;130
4605;A26.04.003;0.01;130
4606;A26.04.004;0.02;130
4607;A26.06.018;0.1;130
4608;A26.06.073;0.1;130
4609;A26.06.093;0.2;130
4610;A26.06.094;0.2;130
4611;A26.20.004;0.1;130
4612;A26.21.003;0.1;130
4613;A26.21.007;0.2;130
4614;A26.26.007;0.1;130
4615;B03.016.002;1;130
4616;B03.016.004;1;130
4617;A02.26.002;0.5;130
4618;A03.26.001;0.5;130
4619;A04.04.001;0.5;130
4620;A04.10.002;0.3;130
4621;A05.03.002;0.2;130
4622;A05.04.001;0.1;130
4623;A06.03.010;0.2;130
4624;A06.03.015;0.5;130
4625;A06.03.016;0.5;130
4626;A06.03.032;0.3;130
4627;A06.03.041;1;130
4628;A06.03.052;0.3;130
4629;A06.04.005;0.05;130
4630;A06.04.017;0.1;130
4631;A06.09.007;1;130
4632;A11.04.003;0.2;130
4633;A11.26.015;0.1;130
4636;A09.05.032;0.15;131
4637;A09.05.033;0.15;131
4638;B03.016.002;1;131
4639;B03.016.004;1;131
4640;B03.016.006;11;131
4641;A06.03.041;1;131
4642;A11.04.003;0.01;131
4646;B03.016.003;1;132
4647;B03.016.004;0.5;132
4648;B03.016.006;1;132
4649;A04.04.001;0.1;132
4650;A05.02.001;0.1;132
4651;A05.04.001;0.5;132
4652;A06.04.010;1;132
4657;B03.016.002;0.5;133
4658;B03.016.003;0.5;133
4659;B03.016.004;1;133
4660;A06.03.041;1;133
4661;B03.003.001;0.7;134
4662;A04.01.001;0.1;134
4663;A06.03.062;0.05;134
4664;A06.30.003;1;134
4665;A11.04.003;0.01;134
4668;A09.05.032;0.15;135
4669;A09.05.033;0.15;135
4670;B03.016.003;1;135
4671;B03.016.004;1;135
4672;B03.016.006;1;135
4673;A06.03.041;1;135
4674;A11.04.003;0.05;135
4677;B03.016.002;1;137
4678;B03.016.006;1;137
4679;A04.04.001;0.5;137
4680;A05.02.001;0.3;137
4681;A05.04.001;0.3;137
4682;A06.04.010;1;137
4683;A11.04.003;0.3;137
4684;A09.05.117;05;138
4685;B03.016.002;1;138
4686;B03.016.004;1;138
4687;A09.05.020;1;138
4688;A05.10.006;1;138
4689;A04.10.002;1;138
4690;A05.10.008;0.5;139
4691;B03.016.002;0.5;139
4692;B03.016.004;1;139
4693;A05.10.006;1;139
4694;A04.10.002;0.5;139
4695;B03.016.004;1;140
4696;A09.05.020;1;140
4697;A05.10.006;1;140
4698;A04.10.002;1;140
4699;A05.10.008.001;0.5;140
4700;B03.016.002;1;141
4701;B03.016.006;0.5;141
4702;B03.016.004;0.5;141
4703;A04.10.002;1;141
4704;A05.10.006;1;141
4705;A06.09.007.001;0.5;141
4706;A04.16.001;0.5;141
4708;B03.016.002;1;142
4709;B03.016.004;1;142
4710;A05.10.006;1;142
4711;A05.10.008.001;0.5;142
4712;A04.12.005.003;1;142
4713;B03.016.002;0.5;143
4714;A02.25.001;1;143
4715;A06.03.024;1;144
4716;A03.30.006.001;1;144
4717;A03.08.005;1;144
4718;A12.25.001.003;1;144
4719;A06.08.009.002;1;144
4720;B03.016.002;1;145
4721;B03.016.006;1;145
4722;A12.09.001.004;1;145
4723;B03.002.001;1;145
4724;A12.09.001.004;1;146
4725;B03.002.001;1;146
4726;A09.05.054.001;1;146
4727;A06.08.003;1;147
4728;A06.08.007.003;1;147
4729;A06.09.005;1;148
4730;A03.09.001;1;148
4731;B03.016.002;1;148
4732;B03.016.006;1;148
4733;A02.25.001;1;149
4734;B03.028.001;1;149
4735;B03.016.002;1;154
4736;A06.09.007.001;1;154
4737;A03.09.001;1;154
4738;A06.09.005;1;157
4739;A03.09.001;1;157
4740;B03.016.002;1;157
4741;B03.016.006;1;157
4742;B03.016.002;1;161
4743;B03.016.006;1;161
4744;B03.016.004;1;161
4745;A04.10.002.21;1;152
4746;A06.10.006;1;152
4747;A06.10.009.001;1;152



